Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.17,-.24,-.08,-.15,-.09,-.20,-.17,-.09,-.14,-.23,-.21,-.17,-.16,***,***,-.11,-.16,-.19
1881,-.19,-.13,.04,.06,.07,-.18,.01,-.03,-.15,-.21,-.18,-.06,-.08,-.09,-.16,.06,-.07,-.18
1882,.17,.14,.05,-.15,-.13,-.22,-.16,-.07,-.15,-.23,-.16,-.36,-.11,-.08,.08,-.08,-.15,-.18
1883,-.29,-.36,-.12,-.18,-.17,-.06,-.07,-.13,-.22,-.11,-.24,-.11,-.17,-.19,-.34,-.16,-.09,-.19
1884,-.13,-.08,-.36,-.40,-.33,-.34,-.32,-.27,-.27,-.25,-.33,-.30,-.28,-.26,-.10,-.36,-.31,-.28
1885,-.58,-.33,-.26,-.41,-.45,-.43,-.33,-.31,-.28,-.23,-.23,-.10,-.33,-.35,-.41,-.37,-.36,-.25
1886,-.43,-.50,-.43,-.27,-.24,-.34,-.17,-.30,-.23,-.27,-.27,-.25,-.31,-.30,-.34,-.31,-.27,-.26
1887,-.71,-.56,-.35,-.34,-.30,-.24,-.25,-.35,-.25,-.35,-.26,-.32,-.36,-.35,-.51,-.33,-.28,-.29
1888,-.34,-.35,-.41,-.20,-.22,-.17,-.10,-.15,-.12,.02,.03,-.04,-.17,-.19,-.34,-.28,-.14,-.02
1889,-.09,.17,.06,.10,.00,-.10,-.07,-.20,-.24,-.25,-.33,-.28,-.10,-.08,.02,.05,-.12,-.27
1890,-.41,-.44,-.39,-.29,-.39,-.24,-.27,-.39,-.36,-.24,-.43,-.30,-.35,-.35,-.38,-.36,-.30,-.34
1891,-.33,-.47,-.18,-.27,-.16,-.20,-.17,-.17,-.15,-.21,-.31,-.04,-.22,-.24,-.37,-.20,-.18,-.23
1892,-.29,-.11,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.14,-.42,-.38,-.27,-.24,-.15,-.32,-.27,-.24
1893,-.81,-.57,-.22,-.27,-.34,-.26,-.14,-.25,-.22,-.18,-.18,-.31,-.31,-.32,-.59,-.28,-.21,-.20
1894,-.52,-.29,-.23,-.44,-.30,-.40,-.23,-.24,-.28,-.23,-.25,-.20,-.30,-.31,-.37,-.33,-.29,-.25
1895,-.40,-.42,-.33,-.21,-.27,-.21,-.17,-.17,-.12,-.10,-.17,-.14,-.23,-.23,-.34,-.27,-.18,-.13
1896,-.21,-.12,-.26,-.30,-.15,-.11,-.02,-.05,-.07,.07,-.04,-.04,-.11,-.12,-.16,-.24,-.06,-.01
1897,-.15,-.16,-.13,-.02,-.01,-.12,-.02,-.09,-.08,-.13,-.17,-.20,-.11,-.09,-.12,-.06,-.08,-.13
1898,-.02,-.30,-.51,-.31,-.30,-.19,-.22,-.26,-.21,-.34,-.38,-.23,-.27,-.27,-.17,-.37,-.22,-.31
1899,-.16,-.38,-.36,-.20,-.23,-.31,-.16,-.09,-.05,-.04,.13,-.26,-.18,-.17,-.26,-.26,-.19,.01
1900,-.36,-.06,.00,-.09,-.09,-.10,-.13,-.09,-.06,.09,-.07,-.07,-.08,-.10,-.23,-.06,-.11,-.01
